epoch,project_name,project_address,n_donors,allocated_eth,matched_eth,total_eth,leverage,avg_donation_eth
8,BuidlGuidl,0x6A4E5ed62d3827128Dbd70c5bDe25C0e6c6aA537,88,0.145913,10.853256,10.999169,74.382,0.001658
8,powdr,0x759C16C76DA0E3e2bc5420aDd6072daf6925f818,42,1.01664,9.885361,10.902001,9.724,0.024206
8,Ethereum Attestation Service (EAS),0xBCA48834b3653ec795411EB0FCBE4038F8527d62,99,0.096603,9.762952,9.859555,101.063,0.000976
8,Fe,0x9A18041c370EAb00C8555E80940c9c09a12716c7,30,1.22275,8.536773,9.759523,6.982,0.040758
8,Verifereum,0x65FE89a480bdB998F4116DAf2A9360632554092c,29,1.228869,8.492016,9.720885,6.91,0.042375
8,Commit-Boost,0xb4D06D433B55600427d718E06c7536bb60113443,29,1.219209,7.953205,9.172414,6.523,0.042042
8,Shutter Network,0xE55d189beAB58cc3E61Bb2bc6Fe307fB0b5EdCf7,69,0.13567,8.802626,8.938296,64.883,0.001966
8,Act,0xCbe8B0804C1461f7D2eD445C611F218430461b7D,29,1.210464,7.675097,8.885561,6.341,0.04174
8,hevm,0xa1659bb76E0C4B3d5eAF5D3BAbc4dd176ee1cC2C,28,1.218604,7.587906,8.80651,6.227,0.043522
8,Ethers.js,0x8ba1f109551bD432803012645Ac136ddd64DBA72,71,0.127591,8.653199,8.78079,67.82,0.001797
8,DefiLlama,0x6994a7da21a4332eaB31980Ca531951057DAA5Aa,93,0.093482,8.479307,8.572789,90.705,0.001005
8,Blockscout,0x242ba6d68FfEb4a098B591B32d370F973FF882B7,90,0.1225,8.239881,8.362381,67.264,0.001361
8,Stablewatch,0xAA823000c207Bd467eA55EF0040f2744F5837Ba1,35,0.456129,7.712446,8.168575,16.908,0.013032
8,Aestus,0xa095Ee27B11FCAac8e1be84891ab62C74F08C854,45,0.098439,4.175959,4.274398,42.422,0.002188
8,Blobscan,0xfBa741C00AE59c4376B46c773b0e67EfF0BA1023,40,0.09498,3.388806,3.483786,35.679,0.002374
8,DeFiScan,0x4396F167ef86ECBAC27682Eb33AFCa13693dFe40,47,0.089919,3.082676,3.172595,34.283,0.001913
8,Circuitscan,0xa48c718AE6dE6599c5A46Fd6caBff54Def39473a,30,0.097495,2.658792,2.756287,27.271,0.00325
8,BundleBear,0x701E37643DADa13DE79e66A74E7d6187FC48faD2,36,0.059994,1.746688,1.806682,29.114,0.001667
8,OrbitDB,0xA72f0BC590b2990e35d3759A08c029704208bBB4,31,0.075507,1.583884,1.659391,20.977,0.002436
8,Samba,0xe966B9F33B907448F6603f9b0194EB9F079fBAA4,28,0.079034,1.567077,1.646111,19.828,0.002823
8,D2PFuzz,0x3Ba64750f4A23c3791b7F0975000142554e921A9,19,0.076264,1.195996,1.27226,15.682,0.004014
