date,open,high,low,close,volume
2025-09-26,0.11420000,0.12010000,0.11300000,0.11890000,32257564.52000000
2025-09-27,0.11890000,0.12290000,0.11780000,0.12120000,26923572.52000000
2025-09-28,0.12120000,0.12370000,0.11790000,0.12330000,20964766.44000000
2025-09-29,0.12330000,0.12620000,0.12020000,0.12490000,27612888.35000000
2025-09-30,0.12490000,0.14330000,0.12260000,0.13980000,243213471.57000000
2025-10-01,0.13980000,0.16000000,0.13540000,0.15890000,221837781.80000000
2025-10-02,0.15890000,0.16040000,0.14790000,0.14910000,99086981.36000000
2025-10-03,0.14900000,0.15590000,0.14350000,0.15330000,81869730.75000000
2025-10-04,0.15330000,0.15430000,0.14470000,0.14720000,41171959.36000000
2025-10-05,0.14720000,0.15570000,0.14600000,0.15030000,45423489.25000000
2025-10-06,0.15030000,0.19740000,0.14740000,0.18090000,289606778.65000000
2025-10-07,0.18080000,0.18860000,0.16600000,0.17090000,150175659.03000000
2025-10-08,0.17090000,0.17250000,0.15840000,0.16330000,73666009.22000000
2025-10-09,0.16330000,0.16360000,0.15170000,0.15700000,47106393.45000000
2025-10-10,0.15700000,0.17910000,0.02970000,0.11140000,348622625.38000000
2025-10-11,0.11170000,0.13890000,0.10450000,0.11550000,208829420.75000000
2025-10-12,0.11550000,0.13700000,0.11190000,0.13010000,141546119.47000000
2025-10-13,0.13000000,0.13650000,0.12630000,0.13240000,95170184.90000000
2025-10-14,0.13240000,0.13300000,0.11860000,0.12770000,100795238.86000000
2025-10-15,0.12770000,0.13200000,0.11660000,0.11870000,43027142.88000000
2025-10-16,0.11880000,0.12570000,0.11390000,0.11610000,70585416.53000000
2025-10-17,0.11620000,0.11780000,0.10460000,0.11010000,85471972.69000000
2025-10-18,0.11010000,0.11280000,0.10790000,0.11040000,23028976.86000000
2025-10-19,0.11040000,0.11980000,0.10760000,0.11430000,40627329.82000000
2025-10-20,0.11440000,0.13540000,0.11230000,0.12910000,140923857.86000000
2025-10-21,0.12910000,0.13070000,0.11920000,0.11980000,70946019.33000000
2025-10-22,0.11990000,0.12070000,0.11200000,0.11560000,36883102.70000000
2025-10-23,0.11570000,0.12180000,0.11540000,0.12060000,28222746.27000000
2025-10-24,0.12050000,0.12400000,0.11880000,0.12160000,24121707.25000000
2025-10-25,0.12160000,0.12180000,0.11860000,0.11970000,18008178.25000000
2025-10-26,0.11970000,0.12730000,0.11750000,0.12580000,26509314.16000000
2025-10-27,0.12600000,0.12980000,0.12120000,0.12150000,27332791.82000000
2025-10-28,0.12150000,0.12460000,0.11580000,0.11870000,24768527.36000000
2025-10-29,0.11870000,0.12130000,0.11430000,0.11750000,33996879.69000000
2025-10-30,0.11750000,0.11900000,0.10480000,0.10870000,50284572.64000000
2025-10-31,0.10860000,0.11030000,0.10290000,0.10300000,35110652.22000000
2025-11-01,0.10300000,0.11600000,0.10150000,0.11590000,62295947.01000000
2025-11-02,0.11590000,0.13740000,0.11290000,0.11900000,279161767.45000000
2025-11-03,0.11900000,0.11920000,0.10270000,0.10520000,202740804.75000000
2025-11-04,0.10520000,0.11050000,0.09510000,0.10350000,252711880.66000000
2025-11-05,0.10350000,0.11140000,0.09830000,0.10770000,110091563.97000000
2025-11-06,0.10770000,0.10810000,0.10000000,0.10400000,77344645.23000000
2025-11-07,0.10400000,0.15740000,0.10390000,0.14390000,504590293.39000000
2025-11-08,0.14380000,0.14530000,0.12500000,0.13470000,193939520.20000000
2025-11-09,0.13480000,0.15510000,0.12930000,0.14810000,266871274.60000000
2025-11-10,0.14810000,0.21770000,0.14640000,0.16610000,941638932.03000000
2025-11-11,0.16610000,0.17990000,0.14430000,0.14500000,355886732.42000000
2025-11-12,0.14500000,0.16940000,0.13550000,0.13700000,344111279.26000000
2025-11-13,0.13690000,0.15400000,0.13120000,0.14790000,328737644.44000000
2025-11-14,0.14780000,0.18340000,0.13480000,0.17020000,527246017.99000000
